Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Commision (in value),Claim,Premium_Plan,Duration_Category,Duration_Time_Cat
6,Travel Agency,Online,11,-0.041178675274036104,8,0.0,0,0,2,0.0033913665946490247
6,Travel Agency,Online,11,-1.1339510620477318,3,0.0,0,0,1,1.2858450111191788
5,Travel Agency,Online,11,-0.9910212826642992,2,11.88,0,0,2,1.9642463653871858
6,Travel Agency,Online,11,0.6154328417891111,9,0.0,0,0,1,0.378757582752621
6,Travel Agency,Online,11,0.6154328417891111,3,0.0,0,0,1,0.378757582752621
6,Travel Agency,Online,11,-1.1339510620477318,2,0.0,0,0,1,1.2858450111191788
6,Travel Agency,Online,11,-2.3437190607985046,14,0.0,0,0,3,16.47905710785067
6,Airlines,Online,11,-0.8553294816085473,12,7.7,0,0,2,1.4631770442174925
6,Travel Agency,Online,11,0.29736304109150324,4,0.0,1,0,1,0.08842477820718704
1,Airlines,Online,8,-0.17974165995490843,1,5.81729425157229,1,1,1,0.03230706432334593
6,Travel Agency,Online,11,0.5558652493712721,4,0.0,1,0,2,0.6179723509171731
1,Airlines,Online,6,1.7286771442307383,1,20.64,1,1,1,2.9883246689857406
5,Travel Agency,Online,11,-0.393977358018991,3,23.76,0,0,2,0.3104363172632484
6,Travel Agency,Online,11,2.046746944928346,1,0.0,0,0,1,4.189173056573518
1,Airlines,Online,8,0.9335026424867189,1,14.552910939710245,1,1,1,0.8714271835296868
6,Travel Agency,Online,11,-0.12259375590748722,12,0.0,0,0,2,0.030058457975009115
6,Travel Agency,Online,11,-0.5296691590747429,10,0.0,0,0,2,0.5610988361498905
6,Travel Agency,Online,11,0.9629406525385278,6,0.0,0,0,2,1.8545094006226515
6,Travel Agency,Online,11,0.13832814074269936,15,0.0,0,0,1,0.019134674521332044
1,Airlines,Online,8,-0.7196376805527954,1,11.75,0,1,2,1.0357567825428144
6,Travel Agency,Online,11,-1.1339510620477318,3,0.0,0,0,1,1.2858450111191788
6,Travel Agency,Online,11,-0.49781146065251625,3,0.0,0,0,1,0.24781625035699173
5,Travel Agency,Online,11,0.29736304109150324,15,41.58,0,0,1,0.08842477820718704
1,Airlines,Online,8,-0.25828555696323907,1,5.25,0,1,2,0.13342285787162123
6,Airlines,Online,11,-0.8158812613501241,15,6.0,0,0,1,0.6656622326222694
6,Travel Agency,Online,11,-0.4211157182301413,1,0.0,0,0,2,0.35467689628097554
6,Travel Agency,Online,11,-0.041178675274036104,15,0.0,0,0,2,0.0033913665946490247
6,Travel Agency,Online,11,1.4514311363392345,7,0.0,0,0,2,4.213304687070003
6,Travel Agency,Online,11,-0.4753924386524421,7,0.0,1,0,2,0.4519959414558318
6,Travel Agency,Online,11,1.6142612976061368,6,0.0,0,0,2,5.211679073898097
6,Travel Agency,Online,11,2.4012737437294973,8,0.0,0,0,2,11.532231184649351
1,Airlines,Online,2,0.4773521496281094,1,54.0,0,1,3,0.6835952242637309
6,Travel Agency,Online,11,0.13832814074269936,4,0.0,0,0,1,0.019134674521332044
5,Travel Agency,Online,11,-1.1339510620477318,2,17.82,0,0,1,1.2858450111191788
6,Travel Agency,Online,11,1.4106073435331306,6,0.0,0,0,1,1.9898130776295955
6,Travel Agency,Online,11,-1.1339510620477318,4,0.0,0,0,1,1.2858450111191788
6,Airlines,Online,11,0.2844816472597684,7,33.6,0,0,2,0.16185961525526257
6,Travel Agency,Online,11,-0.8281911213973969,15,0.0,0,0,2,1.3718010671229557
5,Travel Agency,Online,11,0.7744677421379149,2,23.76,0,0,1,0.5998002836121998
6,Travel Agency,Offline,11,-0.4211157182301413,2,10.5,0,0,2,0.35467689628097554
6,Travel Agency,Online,11,1.6142612976061368,2,0.0,0,0,2,5.211679073898097
6,Travel Agency,Online,11,-0.33877656030371234,4,0.0,0,0,1,0.11476955781121484
5,Travel Agency,Online,11,-0.9910212826642992,3,17.82,0,0,2,1.9642463653871858
6,Travel Agency,Online,11,-0.33877656030371234,4,0.0,0,0,1,0.11476955781121484
6,Travel Agency,Offline,11,-0.20400883654093835,3,9.57,0,0,2,0.0832392107735746
6,Travel Agency,Online,11,0.6154328417891111,3,0.0,0,0,1,0.378757582752621
6,Airlines,Online,11,-0.36683899780784057,11,12.4,0,0,2,0.2691417006253217
6,Travel Agency,Online,11,1.6142612976061368,13,0.0,0,0,2,5.211679073898097
6,Travel Agency,Online,11,-0.4753924386524421,13,0.0,0,0,2,0.4519959414558318
6,Travel Agency,Online,11,-0.9749161616989279,15,0.0,0,0,1,0.9504615223417702
6,Travel Agency,Online,11,-0.6568463610013201,2,0.0,0,0,1,0.4314471419606765
6,Travel Agency,Offline,11,0.25734328704861803,3,10.5,0,0,2,0.13245113477797482
